epoch,acc,loss,lr,val_acc,val_loss
0,0.49618321657180786,1.892037272453308,1e-04,0.625,0.7637072801589966
1,0.5152671933174133,0.7955076098442078,1e-04,0.375,0.7073968648910522
2,0.5343511700630188,0.7427235245704651,1e-04,0.375,0.816365122795105
3,0.5648854970932007,0.6825036406517029,1e-04,0.375,0.7475305795669556
4,0.6221374273300171,0.6449234485626221,1e-04,0.75,0.6196466088294983
5,0.7061068415641785,0.6031523942947388,1e-04,0.71875,0.45309072732925415
6,0.732824444770813,0.5460898280143738,1e-04,0.78125,0.37077176570892334
7,0.7442747950553894,0.5211296677589417,1e-04,0.8125,0.3869708776473999
8,0.7175572514533997,0.5187552571296692,1e-04,0.8125,0.35665982961654663
9,0.767175555229187,0.48025673627853394,1e-04,0.875,0.2689625024795532
10,0.7709923386573792,0.4435328543186188,1e-04,0.96875,0.18429991602897644
11,0.7557252049446106,0.4984129071235657,1e-04,0.875,0.26268577575683594
12,0.767175555229187,0.4642883837223053,1e-04,0.90625,0.2290540188550949
13,0.7748091816902161,0.4618087112903595,1e-04,0.90625,0.22225454449653625
14,0.8206107020378113,0.4577418565750122,1e-04,0.9375,0.19737882912158966
15,0.805343508720398,0.4179303050041199,1e-04,0.8125,0.2992677092552185
16,0.9045801758766174,0.21708743274211884,1e-04,0.9375,0.2401399314403534
17,0.9694656729698181,0.08764946460723877,1e-04,0.84375,0.7013002634048462
18,0.8587786555290222,0.347662091255188,1e-04,0.8125,0.34441810846328735
19,0.9045801758766174,0.20030546188354492,1e-04,0.96875,0.09655553847551346
